drink,ingredient_number,ingredient,measure,category
Belgian Blue,1,vodka,2 cl,vodka
Belgian Blue,2,coconut liqueur,1 cl,liqueur
Belgian Blue,3,blue curacao,1 cl,other
Belgian Blue,4,sprite,Fill with,other
Bellini,1,champagne,6 oz,other
Bellini,2,peach schnapps,1 oz,schnapps
Bellini Martini,1,ice,8 cubes,other
Bellini Martini,2,vodka,3 oz,vodka
Bellini Martini,3,peach nectar,1.5 oz,other
Bellini Martini,4,peach schnapps,1.5 oz,schnapps
Bellini Martini,5,lemon peel,1,other
Bermuda Highball,1,brandy,3/4 oz,brandy
Bermuda Highball,2,gin,3/4 oz,other
Bermuda Highball,3,dry vermouth,3/4 oz,other
Bermuda Highball,4,carbonated water,"
",other
Bermuda Highball,5,lemon peel,"
",other
Berry Deadly,1,everclear,2 pint,other
Berry Deadly,2,wine,1 bottle Boone Strawberry Hill,other
Berry Deadly,3,orange juice,1/2 gal,juice
Berry Deadly,4,kool-aid,1 gal Tropical Berry,other
Between The Sheets,1,brandy,1 oz,brandy
Between The Sheets,2,light rum,1 oz,rum
Between The Sheets,3,triple sec,1 oz,other
Between The Sheets,4,lemon juice,1 oz,juice
Bible Belt,1,southern comfort,2 oz,other
Bible Belt,2,triple sec,1/2 oz,other
Bible Belt,3,lime,2 wedges,other
Bible Belt,4,sour mix,2 oz,other
Big Red,1,irish cream,1/2 oz,cream
Big Red,2,goldschlager,1/2 oz,other
Black & Tan,1,ale,1 part Bass pale,other
Black & Tan,2,guinness stout,1 part,other
Black Forest Shake,1,ice,"cubes
",other
Black Forest Shake,2,chocolate syrup,"
",syrup
Black Forest Shake,3,cherry brandy,"
",brandy
Black Forest Shake,4,vodka,"
",vodka
Black Forest Shake,5,milk,"
",other
Black Russian,1,coffee liqueur,3/4 oz,liqueur
Black Russian,2,vodka,1 1/2 oz,vodka
Black and Brown,1,guinness stout,1/2,other
Black and Brown,2,root beer,1/2,other
Blackthorn,1,sweet vermouth,1 oz,other
Blackthorn,2,sloe gin,1 1/2 oz,other
Blackthorn,3,lemon peel,1 twist of,other
Bleeding Surgeon,1,dark rum,1 shot,rum
Bleeding Surgeon,2,orange,1 slice,other
Bleeding Surgeon,3,surge,1/2 glass,other
Bleeding Surgeon,4,cranberry juice,1/2 glass,juice
Blind Russian,1,irish cream,3/4 oz,cream
Blind Russian,2,godiva liqueur,3/4 oz,liqueur
Blind Russian,3,kahlua,3/4 oz,other
Blind Russian,4,butterscotch schnapps,1/2 oz,schnapps
Blind Russian,5,milk,"to fill
",other
Bloody Maria,1,tequila,1 oz,other
Bloody Maria,2,tomato juice,2 oz,juice
Bloody Maria,3,lemon juice,1 dash,juice
Bloody Maria,4,tabasco sauce,1 dash,other
Bloody Maria,5,celery salt,1 dash,other
Bloody Maria,6,lemon,1 slice,other
Bloody Mary,1,vodka,1 1/2 oz,vodka
Bloody Mary,2,tomato juice,3 oz,juice
Bloody Mary,3,lemon juice,1 dash,juice
Bloody Mary,4,worcestershire sauce,1/2 tsp,other
Bloody Mary,5,tabasco sauce,2-3 drops,other
Bloody Mary,6,lime,1 wedge,other
Blue Lagoon,1,vodka,1 oz,vodka
Blue Lagoon,2,blue curacao,1 oz,other
Blue Lagoon,3,lemonade,"
",other
Blue Lagoon,4,cherry,"
",other
Blue Margarita,1,tequila,1 1/2 oz,other
Blue Margarita,2,blue curacao,1 oz,other
Blue Margarita,3,lime juice,1 oz,juice
Blue Margarita,4,salt,Coarse,other
Blue Mountain,1,añejo rum,1 1/2 oz,rum
Blue Mountain,2,tia maria,1/2 oz,other
Blue Mountain,3,vodka,1/2 oz,vodka
Blue Mountain,4,orange juice,1 oz,juice
Blue Mountain,5,lemon juice,1 tsp,juice
Bluebird,1,gin,1 1/2 oz,other
Bluebird,2,triple sec,1/2 oz,other
Bluebird,3,blue curacao,1/2 oz,other
Bluebird,4,bitters,2 dashes,other
Bluebird,5,maraschino cherry,1,other
Bluebird,6,lemon peel,1 twist of,other
Bob Marley,1,melon liqueur,1/2 oz,liqueur
Bob Marley,2,jägermeister,1/2 oz,other
Bob Marley,3,goldschlager,1/2 oz,other
Bobby Burns Cocktail,1,sweet vermouth,1 1/2 oz,other
Bobby Burns Cocktail,2,scotch,1 1/2 oz,other
Bobby Burns Cocktail,3,benedictine,1 1/4 tsp,other
Bobby Burns Cocktail,4,lemon peel,1 twist of,other
Boomerang,1,gin,2 oz,other
Boomerang,2,dry vermouth,1/2 oz,other
Boomerang,3,bitters,2 dashes,other
Boomerang,4,maraschino liqueur,1/2 tsp,liqueur
Boomerang,5,maraschino cherry,1,other
Boozy Snickers Milkshake,1,vanilla ice-cream,3 cups,other
Boozy Snickers Milkshake,2,milk,1 cup,other
Boozy Snickers Milkshake,3,godiva liqueur,1/2 cup,liqueur
Boozy Snickers Milkshake,4,whipped cream,for topping,cream
Boozy Snickers Milkshake,5,caramel sauce,"4 tablespoons
",other
Boozy Snickers Milkshake,6,chocolate sauce,"4 tablespoons
",chocolate
Boozy Snickers Milkshake,7,mini-snickers bars,"15
",other
Bora Bora,1,pineapple juice,10 cl,juice
Bora Bora,2,passion fruit juice,6 cl,juice
Bora Bora,3,lemon juice,1 cl,juice
Bora Bora,4,grenadine,1 cl,other
Boston Sidecar,1,light rum,3/4 oz,rum
Boston Sidecar,2,brandy,3/4 oz,brandy
Boston Sidecar,3,triple sec,3/4 oz,other
Boston Sidecar,4,lime,Juice of 1/2,other
Boston Sour,1,blended whiskey,2 oz,other
Boston Sour,2,lemon,Juice of 1/2,other
Boston Sour,3,powdered sugar,1 tsp,other
Boston Sour,4,egg white,1,other
Boston Sour,5,lemon,1 slice,other
Boston Sour,6,cherry,1,other
Bourbon Sling,1,sugar,1 tsp superfine,other
Bourbon Sling,2,water,2 tsp,other
Bourbon Sling,3,lemon juice,1 oz,juice
Bourbon Sling,4,bourbon,2 oz,other
Bourbon Sling,5,lemon peel,1 twist of,other
Bourbon Sour,1,bourbon,2 oz,other
Bourbon Sour,2,lemon juice,1 oz,juice
Bourbon Sour,3,sugar,1/2 tsp superfine,other
Bourbon Sour,4,orange,1,other
Bourbon Sour,5,maraschino cherry,1,other
Boxcar,1,gin,1 1/2 oz,other
Boxcar,2,triple sec,1 oz,other
Boxcar,3,lemon juice,1 tsp,juice
Boxcar,4,grenadine,1/2 tsp,other
Boxcar,5,egg white,1,other
Brain Fart,1,everclear,1 fifth,other
Brain Fart,2,vodka,1 fifth Smirnoff red label,vodka
Brain Fart,3,mountain dew,2 L,other
Brain Fart,4,surge,2 L,other
Brain Fart,5,lemon juice,1 small bottle,juice
Brain Fart,6,rum,1 pint,rum
Brainteaser,1,sambuca,30 ml white,other
Brainteaser,2,erin cream,30 ml,cream
Brainteaser,3,advocaat,5 ml,other
Bramble,1,gin,4 cl,other
Bramble,2,lemon juice,1.5 cl,juice
Bramble,3,sugar syrup,1 cl,syrup
Bramble,4,creme de mure,1.5 cl,other
Brandon and Will's Coke Float,1,vanilla ice-cream,2 scoops,other
Brandon and Will's Coke Float,2,coca-cola,1 can,other
Brandon and Will's Coke Float,3,bourbon,2 oz,other
Brandy Alexander,1,brandy,1 oz,brandy
Brandy Alexander,2,creme de cacao,1 oz white,other
Brandy Alexander,3,light cream,1 oz,cream
Brandy Alexander,4,nutmeg,"
",other
Brandy Cobbler,1,sugar,1 tsp superfine,other
Brandy Cobbler,2,club soda,3 oz,other
Brandy Cobbler,3,lemon,1,other
Brandy Cobbler,4,brandy,2 oz,brandy
Brandy Cobbler,5,maraschino cherry,1,other
Brandy Cobbler,6,orange,1,other
Brandy Flip,1,brandy,2 oz,brandy
Brandy Flip,2,egg,1 whole,other
Brandy Flip,3,sugar,1 tsp superfine,other
Brandy Flip,4,light cream,1/2 oz,cream
Brandy Flip,5,nutmeg,1/8 tsp grated,other
Brandy Sour,1,brandy,2 oz,brandy
Brandy Sour,2,lemon,Juice of 1/2,other
Brandy Sour,3,powdered sugar,1/2 tsp,other
Brandy Sour,4,lemon,1/2 slice,other
Brandy Sour,5,cherry,1,other
Brave Bull Shooter,1,tequila,1/2 oz,other
Brave Bull Shooter,2,tabasco sauce,1/2 oz,other
Bruce's Puce,1,grenadine,"
",other
Bruce's Puce,2,kahlua,"
",other
Bruce's Puce,3,irish cream,"
",cream
Bruised Heart,1,vodka,1/2 oz,vodka
Bruised Heart,2,raspberry liqueur,1/2 oz,liqueur
Bruised Heart,3,peach schnapps,1/2 oz,schnapps
Bruised Heart,4,cranberry juice,1/2 oz,juice
Bubble Gum,1,vodka,1/4,vodka
Bubble Gum,2,banana liqueur,1/4,liqueur
Bubble Gum,3,orange juice,1/4,juice
Bubble Gum,4,peach schnapps,1/4,schnapps
Buccaneer,1,corona,1,other
Buccaneer,2,bacardi limon,1 shot,other
Bumble Bee #1,1,irish cream,1/3 oz,cream
Bumble Bee #1,2,kahlua,1/3 oz,other
Bumble Bee #1,3,sambuca,1/3 oz,other
Butter Baby,1,vanilla ice-cream,2 scoops,other
Butter Baby,2,butterscotch schnapps,1 part,schnapps
Butter Baby,3,milk,full glass,other
Butter Baby,4,vodka,2 parts,vodka
Cafe Savoy,1,coffee,"
",other
Cafe Savoy,2,milk,1/2 oz,other
Cafe Savoy,3,triple sec,1/2 oz,other
Caipirinha,1,sugar,2 tsp,other
Caipirinha,2,lime,1,other
Caipirinha,3,cachaca,2 1/2 oz,other
Caipirissima,1,lime,2,other
Caipirissima,2,sugar,2 tblsp,other
Caipirissima,3,white rum,2-3 oz,rum
Caipirissima,4,ice,crushed,other
California Lemonade,1,blended whiskey,2 oz,other
California Lemonade,2,lemon,Juice of 1,other
California Lemonade,3,lime,Juice of 1,other
California Lemonade,4,powdered sugar,1 tblsp,other
California Lemonade,5,grenadine,1/4 tsp,other
California Lemonade,6,carbonated water,"
",other
California Root Beer,1,kahlua,3/4 oz,other
California Root Beer,2,galliano,3/4 oz,other
California Root Beer,3,soda water,Fill with,other
Campari Beer,1,lager,1 bottle,other
Campari Beer,2,campari,1 1/2 cl,other
Caribbean Boilermaker,1,corona,1 bottle,other
Caribbean Boilermaker,2,light rum,1 shot,rum
Caribbean Orange Liqueur,1,orange,3 large,other
Caribbean Orange Liqueur,2,vodka,3 cups,vodka
Caribbean Orange Liqueur,3,sugar,1 1/3 cup superfine,other
Casino,1,gin,2 oz,other
Casino,2,maraschino liqueur,1/4 tsp,liqueur
Casino,3,lemon juice,1/4 tsp,juice
Casino,4,orange bitters,2 dashes,other
Casino,5,cherry,1,other
Casino Royale,1,gin,2 oz,other
Casino Royale,2,lemon juice,1/2 oz,juice
Casino Royale,3,maraschino liqueur,1 tsp,liqueur
Casino Royale,4,orange bitters,1 dash,other
Casino Royale,5,egg yolk,1,other
Castillian Hot Chocolate,1,cocoa powder,1/2 cup,other
Castillian Hot Chocolate,2,sugar,1 cup,other
Castillian Hot Chocolate,3,cornstarch,7 tsp,other
Castillian Hot Chocolate,4,water,1/2 cup,other
Castillian Hot Chocolate,5,milk,1 qt,other
Champagne Cocktail,1,champagne,Chilled,other
Champagne Cocktail,2,sugar,1 piece,other
Champagne Cocktail,3,bitters,2 dashes,other
Champagne Cocktail,4,lemon peel,1 twist of,other
Champagne Cocktail,5,cognac,1 dash,other
Cherry Electric Lemonade,1,gin,1 oz,other
Cherry Electric Lemonade,2,tequila,1 oz,other
Cherry Electric Lemonade,3,vodka,1 oz,vodka
Cherry Electric Lemonade,4,white rum,1 oz,rum
Cherry Electric Lemonade,5,triple sec,1 oz,other
Cherry Electric Lemonade,6,cherry grenadine,1 oz,other
Cherry Electric Lemonade,7,sweet and sour,1 oz,other
Cherry Electric Lemonade,8,club soda,3 oz,other
Cherry Rum,1,light rum,1 1/4 oz,rum
Cherry Rum,2,cherry brandy,1 1/2 tsp,brandy
Cherry Rum,3,light cream,1 tblsp,cream
Chicago Fizz,1,light rum,1 oz,rum
Chicago Fizz,2,port,1 oz,other
Chicago Fizz,3,lemon,Juice of 1/2,other
Chicago Fizz,4,powdered sugar,1 tsp,other
Chicago Fizz,5,egg white,1,other
Chicago Fizz,6,carbonated water,"
",other
Chocolate Beverage,1,milk,6 cups,other
Chocolate Beverage,2,chocolate,3 oz Mexican,chocolate
Chocolate Beverage,3,cinnamon,1 tsp powdered,other
Chocolate Beverage,4,egg,3,other
Chocolate Black Russian,1,kahlua,1 oz,other
Chocolate Black Russian,2,vodka,1/2 oz,vodka
Chocolate Black Russian,3,chocolate ice-cream,5 oz,chocolate
Chocolate Drink,1,chocolate,125 gr,chocolate
Chocolate Drink,2,milk,3/4 L,other
Chocolate Milk,1,chocolate liqueur,1/2 shot,liqueur
Chocolate Milk,2,milk,1/2 shot,other
Chocolate Milk,3,amaretto,1 dash,other
Chocolate Monkey,1,banana liqueur,1 shot,liqueur
Chocolate Monkey,2,creme de cacao,2 shots,other
Chocolate Monkey,3,chocolate ice-cream,2 scoops,chocolate
Chocolate Monkey,4,chocolate syrup,1 oz,syrup
Chocolate Monkey,5,chocolate milk,4 oz,chocolate
Chocolate Monkey,6,whipped cream,1,cream
Chocolate Monkey,7,cherry,1,other
Chocolate Monkey,8,banana,1 piece,other
Citrus Coke,1,bacardi limon,1 part,other
Citrus Coke,2,coca-cola,2 parts,other
City Slicker,1,brandy,2 oz,brandy
City Slicker,2,triple sec,1/2 oz,other
City Slicker,3,lemon juice,1 tblsp,juice
Classic Old-Fashioned,1,bitters,3 dashes,other
Classic Old-Fashioned,2,water,1 tsp,other
Classic Old-Fashioned,3,sugar,1,other
Classic Old-Fashioned,4,bourbon,3 oz,other
Classic Old-Fashioned,5,orange,1,other
Classic Old-Fashioned,6,maraschino cherry,1,other
Clove Cocktail,1,sweet vermouth,1 oz,other
Clove Cocktail,2,sloe gin,1/2 oz,other
Clove Cocktail,3,wine,1/2 oz Muscatel,other
Clover Club,1,gin,1 1/2 oz,other
Clover Club,2,grenadine,2 tsp,other
Clover Club,3,lemon,Juice of 1/2,other
Clover Club,4,egg white,1,other
Coffee Liqueur,1,coffee,10 tblsp instant,other
Coffee Liqueur,2,vanilla extract,4 tblsp,other
Coffee Liqueur,3,sugar,2 1/2 cups,other
Coffee Liqueur,4,vodka,1 qt,vodka
Coffee Liqueur,5,water,2 1/2 cups,other
Coffee-Vodka,1,water,2 cups,other
Coffee-Vodka,2,sugar,2 cups white,other
Coffee-Vodka,3,coffee,1/2 cup instant,other
Coffee-Vodka,4,vanilla,1/2,other
Coffee-Vodka,5,vodka,1 1/2 cup,vodka
Coffee-Vodka,6,caramel coloring,"
",other
Coke and Drops,1,coca-cola,1 dl,other
Coke and Drops,2,lemon juice,7 drops,juice
Cosmopolitan,1,absolut citron,1 1/4 oz,other
Cosmopolitan,2,lime juice,1/4 oz,juice
Cosmopolitan,3,cointreau,1/4 oz,other
Cosmopolitan,4,cranberry juice,1/4 cup,juice
Cosmopolitan Martini,1,cointreau,1/2 oz,other
Cosmopolitan Martini,2,vodka,1 oz,vodka
Cosmopolitan Martini,3,lime,Juice of 1/2,other
Cosmopolitan Martini,4,cranberry juice,1 splash,juice
Cranberry Cordial,1,cranberries,1/2 kg chopped,other
Cranberry Cordial,2,sugar,3/4 L,other
Cranberry Cordial,3,light rum,1/2 L,rum
Cranberry Punch,1,cranberry juice,4 cups,juice
Cranberry Punch,2,sugar,1 1/2 cup,other
Cranberry Punch,3,pineapple juice,4 cups,juice
Cranberry Punch,4,almond flavoring,1 tblsp,other
Cranberry Punch,5,ginger ale,2 qt,other
Cream Soda,1,spiced rum,1 oz,rum
Cream Soda,2,ginger ale,"
",other
Creme de Menthe,1,sugar,8 cups,other
Creme de Menthe,2,water,6 cups,other
Creme de Menthe,3,grain alcohol,1 pint,other
Creme de Menthe,4,peppermint extract,1 oz pure,other
Creme de Menthe,5,food coloring,1 tblsp green,other
Cuba Libra,1,dark rum,1-2 shot,rum
Cuba Libra,2,lime,Squeeze,other
Cuba Libra,3,coca-cola,Fill with,other
Cuba Libra,4,ice,"
",other
Cuba Libre,1,light rum,2 oz,rum
Cuba Libre,2,lime,Juice of 1/2,other
Daiquiri,1,light rum,1 1/2 oz,rum
Daiquiri,2,lime,Juice of 1/2,other
Daiquiri,3,powdered sugar,1 tsp,other
Damned if you do,1,whiskey,0.75 oz,other
Damned if you do,2,hot damn,0.25 oz,other
Danbooka,1,coffee,3 parts,other
Danbooka,2,everclear,1 part,other
Dark Caipirinha,1,demerara sugar,2 tsp,other
Dark Caipirinha,2,lime,1,other
Dark Caipirinha,3,cachaca,2 1/2 oz,other
Dark and Stormy,1,dark rum,5 cl,rum
Dark and Stormy,2,ginger beer,10 cl,other
Darkwood Sling,1,cherry heering,1 part,other
Darkwood Sling,2,soda water,1 part,other
Darkwood Sling,3,orange juice,1 part,juice
Darkwood Sling,4,ice,"cubes
",other
Derby,1,gin,6 cl,other
Derby,2,peach bitters,2 dashes,other
Derby,3,mint,2 Fresh leaves,other
Diesel,1,lager,1/2 pint,other
Diesel,2,cider,1/2 pint,other
Diesel,3,blackcurrant cordial,1 dash,other
Dirty Martini,1,vodka,70ml/2fl oz,vodka
Dirty Martini,2,dry vermouth,1 tbsp,other
Dirty Martini,3,olive brine,2 tbsp,other
Dirty Martini,4,lemon,1 wedge,other
Dirty Martini,5,olive,1,other
Dirty Nipple,1,kahlua,"
",other
Dirty Nipple,2,sambuca,"
",other
Dirty Nipple,3,irish cream,"
",cream
Downshift,1,fruit punch,2 part,other
Downshift,2,sprite,1 part,other
Downshift,3,tequila,2 shots,other
Downshift,4,151 proof rum,Float Bacardi,rum
Dragonfly,1,gin,1 1/2 oz,other
Dragonfly,2,ginger ale,4 oz,other
Dragonfly,3,lime,1,other
Drinking Chocolate,1,heavy cream,2 oz,cream
Drinking Chocolate,2,milk,6-8 oz,other
Drinking Chocolate,3,cinnamon,1 stick,other
Drinking Chocolate,4,vanilla,1,other
Drinking Chocolate,5,chocolate,2 oz finely chopped dark,chocolate
Drinking Chocolate,6,whipped cream,Fresh,cream
Dry Rob Roy,1,scotch,2 1/2 oz,other
Dry Rob Roy,2,dry vermouth,1 1/2 tsp,other
Dry Rob Roy,3,lemon peel,1 twist of,other
Dubonnet Cocktail,1,dubonnet rouge,1 1/2 oz,other
Dubonnet Cocktail,2,gin,3/4 oz,other
Dubonnet Cocktail,3,bitters,1 dash,other
Dubonnet Cocktail,4,lemon peel,1 twist of,other
Duchamp's Punch,1,pisco,5 cl,other
Duchamp's Punch,2,lime juice,2.5 cl,juice
Duchamp's Punch,3,pineapple syrup,2.5 cl,syrup
Duchamp's Punch,4,st. germain,1.5 cl,other
Duchamp's Punch,5,angostura bitters,2 Dashes,other
Duchamp's Punch,6,pepper,Pinch,other
Duchamp's Punch,7,lavender,2 sprigs,other
Egg Cream,1,chocolate syrup,2 tblsp,syrup
Egg Cream,2,milk,6 oz whole,other
Egg Cream,3,soda water,6 oz,other
Egg Nog #4,1,egg yolk,6,other
Egg Nog #4,10,sugar,1/4 cup,other
Egg Nog #4,11,nutmeg,Ground,other
Egg Nog #4,2,sugar,1/4 cup,other
Egg Nog #4,3,milk,2 cups,other
Egg Nog #4,4,light rum,1/2 cup,rum
Egg Nog #4,5,bourbon,1/2 cup,other
Egg Nog #4,6,vanilla extract,1 tsp,other
Egg Nog #4,7,salt,1/4 tsp,other
Egg Nog #4,8,whipped cream,1 cup,cream
Egg Nog #4,9,egg white,6,other
Egg Nog - Healthy,1,egg,1/2 cup,other
Egg Nog - Healthy,2,sugar,3 tblsp,other
Egg Nog - Healthy,3,condensed milk,13 oz skimmed,other
Egg Nog - Healthy,4,milk,3/4 cup skimmed,other
Egg Nog - Healthy,5,vanilla extract,1 tsp,other
Egg Nog - Healthy,6,rum,1 tsp,rum
Egg Nog - Healthy,7,nutmeg,"
",other
Egg-Nog - Classic Cooked,1,egg,6,other
Egg-Nog - Classic Cooked,2,sugar,1/4 cup,other
Egg-Nog - Classic Cooked,3,salt,1/4 tsp,other
Egg-Nog - Classic Cooked,4,milk,1 qt,other
Egg-Nog - Classic Cooked,5,vanilla extract,1 tsp,other
English Highball,1,brandy,3/4 oz,brandy
English Highball,2,gin,3/4 oz,other
English Highball,3,sweet vermouth,3/4 oz,other
English Highball,4,carbonated water,"
",other
English Highball,5,lemon peel,"
",other
English Rose Cocktail,1,apricot brandy,3/4 oz,brandy
English Rose Cocktail,2,gin,1 1/2 oz,other
English Rose Cocktail,3,dry vermouth,3/4 oz,other
English Rose Cocktail,4,grenadine,1 tsp,other
English Rose Cocktail,5,lemon juice,1/4 tsp,juice
English Rose Cocktail,6,cherry,1,other
Espresso Martini,1,vodka,5 cl,vodka
Espresso Martini,2,kahlua,1 cl,other
Espresso Martini,3,sugar syrup,1 dash,syrup
Fahrenheit 5000,1,firewater,1/2 oz,other
Fahrenheit 5000,2,absolut peppar,1/2 oz,other
Fahrenheit 5000,3,tabasco sauce,1 dash,other
Flaming Dr. Pepper,1,amaretto,1 oz,other
Flaming Dr. Pepper,2,vodka,1 oz,vodka
Flaming Dr. Pepper,3,151 proof rum,1 oz Bacardi,rum
Flaming Dr. Pepper,4,dr. pepper,1 oz,other
Flaming Dr. Pepper,5,beer,1 oz,other
Flaming Lamborghini,1,kahlua,1 oz,other
Flaming Lamborghini,2,sambuca,1 oz,other
Flaming Lamborghini,3,blue curacao,1 oz,other
Flaming Lamborghini,4,irish cream,1 oz,cream
Flander's Flake-Out,1,sambuca,1/4 glass,other
Flander's Flake-Out,2,sarsaparilla,3/4 glass,other
Flying Dutchman,1,gin,2 oz,other
Flying Dutchman,2,triple sec,1/2 oz,other
Flying Scotchman,1,scotch,1 oz,other
Flying Scotchman,2,sweet vermouth,1 oz,other
Flying Scotchman,3,bitters,1 dash,other
Flying Scotchman,4,sugar syrup,1/4 tsp,syrup
Foxy Lady,1,amaretto,1/2 oz,other
Foxy Lady,2,creme de cacao,1/2 oz,other
Foxy Lady,3,light cream,2 oz,cream
Frappé,1,coffee,1/2 cup black,other
Frappé,2,milk,1/2 cup,other
Frappé,3,sugar,1-2 tsp,other
Freddy Kruger,1,jägermeister,1/2 oz,other
Freddy Kruger,2,sambuca,1/2 oz,other
Freddy Kruger,3,vodka,1/2 oz,vodka
"French ""75""",1,gin,1 1/2 oz,other
"French ""75""",2,sugar,2 tsp superfine,other
"French ""75""",3,lemon juice,1 1/2 oz,juice
"French ""75""",4,champagne,4 oz Chilled,other
"French ""75""",5,orange,1,other
"French ""75""",6,maraschino cherry,1,other
French 75,1,gin,1 1/2 oz,other
French 75,2,sugar,2 tsp superfine,other
French 75,3,lemon juice,1 1/2 oz,juice
French 75,4,champagne,4 oz Chilled,other
French 75,5,orange,1,other
French 75,6,maraschino cherry,1,other
French Connection,1,cognac,1 1/2 oz,other
French Connection,2,amaretto,3/4 oz,other
French Martini,1,vodka,4.5 cl,vodka
French Martini,2,raspberry liqueur,1.5 cl,liqueur
French Martini,3,pineapple juice,1.5 cl,juice
Frisco Sour,1,blended whiskey,2 oz,other
Frisco Sour,2,benedictine,1/2 oz,other
Frisco Sour,3,lemon,Juice of 1/4,other
Frisco Sour,4,lime,Juice of 1/2,other
Frisco Sour,5,lemon,1 slice,other
Frisco Sour,6,lime,1 slice,other
Frozen Daiquiri,1,light rum,1 1/2 oz,rum
Frozen Daiquiri,2,triple sec,1 tblsp,other
Frozen Daiquiri,3,lime juice,1 1/2 oz,juice
Frozen Daiquiri,4,sugar,1 tsp,other
Frozen Daiquiri,5,cherry,1,other
Frozen Daiquiri,6,ice,1 cup crushed,other
Frozen Mint Daiquiri,1,light rum,2 oz,rum
Frozen Mint Daiquiri,2,lime juice,1 tblsp,juice
Frozen Mint Daiquiri,3,mint,6,other
Frozen Mint Daiquiri,4,sugar,1 tsp,other
Frozen Pineapple Daiquiri,1,light rum,1 1/2 oz,rum
Frozen Pineapple Daiquiri,2,pineapple,4 chunks,other
Frozen Pineapple Daiquiri,3,lime juice,1 tblsp,juice
Frozen Pineapple Daiquiri,4,sugar,1/2 tsp,other
Fruit Cooler,1,apple juice,1 can frozen,juice
Fruit Cooler,2,strawberries,1 cup,other
Fruit Cooler,3,sugar,2 tblsp,other
Fruit Cooler,4,lemon,1,other
Fruit Cooler,5,apple,1,other
Fruit Cooler,6,soda water,1 L,other
Fruit Cooler,7,ice,"
",other
Fruit Flip-Flop,1,yoghurt,1 cup,other
Fruit Flip-Flop,2,fruit juice,1 cup,juice
Fruit Shake,1,yoghurt,1 cup fruit,other
Fruit Shake,2,banana,1,other
Fruit Shake,3,orange juice,4 oz frozen,juice
Fruit Shake,4,fruit,1/2 piece textural,other
Fruit Shake,5,ice,6,other
Fuzzy Asshole,1,coffee,1/2,other
Fuzzy Asshole,2,peach schnapps,1/2,schnapps
GG,1,galliano,2 1/2 shots,other
GG,2,ginger ale,"
",other
Gagliardo,1,peach vodka,5 parts,vodka
Gagliardo,2,lemon juice,3 parts,juice
Gagliardo,3,galliano,1 part,other
Gagliardo,4,sirup of roses,1 part,other
Gentleman's Club,1,gin,1 1/2 oz,other
Gentleman's Club,2,brandy,1 oz,brandy
Gentleman's Club,3,sweet vermouth,1 oz,other
Gentleman's Club,4,club soda,1 oz,other
