drink,ingredient_number,ingredient,measure,category
Oreo Mudslide,2,kahlua,1 oz,other
Oreo Mudslide,3,irish cream,1 oz,cream
Oreo Mudslide,4,vanilla ice-cream,2 scoops,other
Oreo Mudslide,5,oreo cookie,1,other
Orgasm,1,creme de cacao,1/2 oz white,other
Orgasm,2,amaretto,1/2 oz,other
Orgasm,3,triple sec,1/2 oz,other
Orgasm,4,vodka,1/2 oz,vodka
Orgasm,5,light cream,1 oz,cream
Owen's Grandmother's Revenge,1,whiskey,12 oz,other
Owen's Grandmother's Revenge,2,beer,12 oz,other
Owen's Grandmother's Revenge,3,lemonade,12 oz frozen,other
Owen's Grandmother's Revenge,4,ice,1 cup crushed,other
Paradise,1,gin,7 parts,other
Paradise,2,apricot brandy,4 parts,brandy
Paradise,3,orange juice,3 parts,juice
Pina Colada,1,light rum,3 oz,rum
Pina Colada,2,coconut milk,3 tblsp,other
Pina Colada,3,pineapple,3 tblsp,other
Pineapple Gingerale Smoothie,1,ginger,1/4 inch,other
Pineapple Gingerale Smoothie,2,pineapple,1/2,other
Pink Gin,1,bitters,3 dashes,other
Pink Gin,2,gin,2 oz,other
Pink Lady,1,gin,1 1/2 oz,other
Pink Lady,2,grenadine,1 tsp,other
Pink Lady,3,light cream,1 tsp,cream
Pink Lady,4,egg white,1,other
Pink Panty Pulldowns,1,sprite,1 L,other
Pink Panty Pulldowns,2,pink lemonade,2 cups,other
Pink Panty Pulldowns,3,vodka,2 cups,vodka
Pink Penocha,1,everclear,750 ml,other
Pink Penocha,2,vodka,1750 ml,vodka
Pink Penocha,3,peach schnapps,1750 ml,schnapps
Pink Penocha,4,orange juice,1 gal,juice
Pink Penocha,5,cranberry juice,1 gal,juice
Pisco Sour,1,pisco,2 oz,other
Pisco Sour,2,lemon juice,1 oz,juice
Pisco Sour,3,sugar,1-2 tblsp,other
Planter's Punch,1,dark rum,1 part,rum
Planter's Punch,2,orgeat syrup,1/2 part,syrup
Planter's Punch,3,orange juice,2 parts,juice
Planter's Punch,4,pineapple juice,1 part,juice
Popped cherry,1,vodka,2 oz,vodka
Popped cherry,2,cherry liqueur,2 oz,liqueur
Popped cherry,3,cranberry juice,4 oz,juice
Popped cherry,4,orange juice,4 oz,juice
Poppy Cocktail,1,gin,1 1/2 oz,other
Poppy Cocktail,2,creme de cacao,3/4 oz white,other
Port And Starboard,1,grenadine,1 tblsp,other
Port And Starboard,2,green creme de menthe,1/2 oz,other
Port Wine Cocktail,1,port,2 1/2 oz,other
Port Wine Cocktail,2,brandy,1/2 tsp,brandy
Port Wine Flip,1,port,1 1/2 oz,other
Port Wine Flip,2,light cream,2 tsp,cream
Port Wine Flip,3,powdered sugar,1 tsp,other
Port Wine Flip,4,egg,1 whole,other
Port Wine Flip,5,nutmeg,"
",other
Porto flip,1,brandy,3 parts,brandy
Porto flip,2,port,9 parts,other
Porto flip,3,egg yolk,2 parts,other
Pysch Vitamin Light,1,orange juice,1 part,juice
Pysch Vitamin Light,2,apple juice,1 part,juice
Pysch Vitamin Light,3,pineapple juice,1 part,juice
Pysch Vitamin Light,4,ice,"
",other
Quaker's Cocktail,1,light rum,3/4 oz,rum
Quaker's Cocktail,2,brandy,3/4 oz,brandy
Quaker's Cocktail,3,lemon,Juice of 1/4,other
Quaker's Cocktail,4,raspberry syrup,2 tsp,syrup
Quarter Deck Cocktail,1,light rum,1 1/2,rum
Quarter Deck Cocktail,2,sherry,1/3 oz cream,other
Quarter Deck Cocktail,3,lime,Juice of 1/2,other
Queen Bee,1,coffee brandy,1 oz,brandy
Queen Bee,2,lime vodka,1 1/2 oz,vodka
Queen Bee,3,sherry,1/2 oz cream,other
Queen Charlotte,1,red wine,2 oz,other
Queen Charlotte,2,grenadine,1 oz,other
Queen Charlotte,3,lemon-lime soda,"
",other
Queen Elizabeth,1,dry vermouth,1/2 oz,other
Queen Elizabeth,2,gin,1 1/2 oz,other
Queen Elizabeth,3,benedictine,1 1/2 tsp,other
Quentin,1,dark rum,1 1/2 oz,rum
Quentin,2,kahlua,1/2 oz,other
Quentin,3,light cream,1 oz,cream
Quentin,4,nutmeg,1/8 tsp grated,other
Quick F**K,1,kahlua,1 part,other
Quick F**K,2,melon liqueur,1 part,liqueur
Quick F**K,3,irish cream,1 part,cream
Quick-sand,1,black sambuca,25 ml,other
Quick-sand,2,orange juice,Add 250 ml,juice
Radioactive Long Island Iced Tea,1,rum,1 oz,rum
Radioactive Long Island Iced Tea,2,vodka,1 oz,vodka
Radioactive Long Island Iced Tea,3,tequila,1 oz,other
Radioactive Long Island Iced Tea,4,gin,1 oz,other
Radioactive Long Island Iced Tea,5,triple sec,1 oz,other
Radioactive Long Island Iced Tea,6,raspberry liqueur,1 oz,liqueur
Radioactive Long Island Iced Tea,7,melon liqueur,1 oz,liqueur
Radioactive Long Island Iced Tea,8,malibu rum,1 oz,rum
Radler,1,beer,12 oz,other
Radler,2,7-up,12 oz,other
Rail Splitter,1,sugar syrup,2 tsp,syrup
Rail Splitter,2,lemon juice,"
",juice
Raspberry Cooler,1,raspberry vodka,2 oz,vodka
Raspberry Cooler,2,lemon-lime soda,4 oz,other
Raspberry Cooler,3,ice,"
",other
Red Snapper,1,crown royal,1 shot,other
Red Snapper,2,amaretto,1 shot,other
Red Snapper,3,cranberry juice,1 shot,juice
Rose,1,dry vermouth,1/2 oz,other
Rose,2,gin,1 oz,other
Rose,3,apricot brandy,1/2 oz,brandy
Rose,4,lemon juice,1/2 tsp,juice
Rose,5,grenadine,1 tsp,other
Royal Bitch,1,frangelico,1 part,other
Royal Bitch,2,crown royal,1 part,other
Royal Fizz,1,gin,1 oz,other
Royal Fizz,2,sweet and sour,2 oz,other
Royal Fizz,3,egg,1 whole,other
Royal Fizz,4,coca-cola,"
",other
Royal Flush,1,crown royal,1 1/2 oz,other
Royal Flush,2,peach schnapps,1 oz,schnapps
Royal Flush,3,raspberry liqueur,1/2 oz,liqueur
Royal Flush,4,cranberry juice,1 oz,juice
Royal Gin Fizz,1,gin,2 oz,other
Royal Gin Fizz,2,lemon,Juice of 1/2,other
Royal Gin Fizz,3,powdered sugar,1 tsp,other
Royal Gin Fizz,4,egg,1 whole,other
Royal Gin Fizz,5,carbonated water,"
",other
Ruby Tuesday,1,gin,2 oz,other
Ruby Tuesday,2,cranberry juice,5 oz,juice
Ruby Tuesday,3,grenadine,2 splashes,other
Rum Cobbler,1,sugar,1 tsp superfine,other
Rum Cobbler,2,club soda,3 oz,other
Rum Cobbler,3,lemon,1,other
Rum Cobbler,4,dark rum,2 oz,rum
Rum Cobbler,5,maraschino cherry,1,other
Rum Cobbler,6,orange,1,other
Rum Cooler,1,rum,2 oz light or dark,rum
Rum Cooler,2,lemon-lime soda,4 oz,other
Rum Cooler,3,lemon,1,other
Rum Milk Punch,1,light rum,2 oz,rum
Rum Milk Punch,2,milk,1 cup,other
Rum Milk Punch,3,powdered sugar,1 tsp,other
Rum Milk Punch,4,nutmeg,"
",other
Rum Old-fashioned,1,light rum,1 1/2 oz,rum
Rum Old-fashioned,2,151 proof rum,1 tsp,rum
Rum Old-fashioned,3,powdered sugar,1/2 tsp,other
Rum Old-fashioned,4,bitters,1 dash,other
Rum Old-fashioned,5,water,1 tsp,other
Rum Old-fashioned,6,lime peel,Twist of,other
Rum Punch,1,rum,mikey bottle,rum
Rum Punch,2,ginger ale,large bottle,other
Rum Punch,3,fruit punch,355 ml frozen,other
Rum Punch,4,orange juice,355 ml frozen,juice
Rum Punch,5,ice,crushed,other
Rum Runner,1,malibu rum,1 1/2 oz,rum
Rum Runner,2,blackberry brandy,1 oz,brandy
Rum Runner,3,orange juice,3-4 oz,juice
Rum Runner,4,pineapple juice,3-4 oz,juice
Rum Runner,5,cranberry juice,3-4 oz,juice
Rum Screwdriver,1,light rum,1 1/2 oz,rum
Rum Screwdriver,2,orange juice,5 oz,juice
Rum Sour,1,light rum,2 oz,rum
Rum Sour,2,lemon juice,1 oz,juice
Rum Sour,3,sugar,1/2 tsp superfine,other
Rum Sour,4,orange,1,other
Rum Sour,5,maraschino cherry,1,other
Rum Toddy,1,rum,2 oz light or dark,rum
Rum Toddy,2,powdered sugar,2 tsp,other
Rum Toddy,3,lemon peel,1 twist of,other
Rum Toddy,4,water,2 tsp,other
Russian Spring Punch,1,vodka,2.5 cl,vodka
Russian Spring Punch,2,creme de cassis,1.5 cl,other
Russian Spring Punch,3,sugar syrup,1 cl,syrup
Russian Spring Punch,4,lemon juice,2.5 cl,juice
Rusty Nail,1,scotch,1 1/2 oz,other
Rusty Nail,2,drambuie,1/2 oz,other
Rusty Nail,3,lemon peel,1 twist of,other
Salty Dog,1,grapefruit juice,5 oz,juice
Salty Dog,2,gin,1 1/2 oz,other
Salty Dog,3,salt,1/4 tsp,other
San Francisco,1,vodka,2 cl,vodka
San Francisco,2,creme de banane,2 cl,other
San Francisco,3,grenadine,"
",other
Sangria #1,1,red wine,1 bottle,other
Sangria #1,2,sugar,1/2 cup,other
Sangria #1,3,orange juice,1 cup,juice
Sangria #1,4,lemon juice,1 cup,juice
Sangria #1,5,cloves,"
",other
Sangria - The World's Best,1,red wine,1 1/2 L,other
Sangria - The World's Best,2,sugar,1 cup,other
Sangria - The World's Best,3,lemon,1 large,other
Sangria - The World's Best,4,orange,1 large,other
Sangria - The World's Best,5,apple,1 large,other
Sangria - The World's Best,6,brandy,3-4 oz plain,brandy
Sangria - The World's Best,7,soda water,"
",other
Sazerac,1,ricard,1 tsp,other
Sazerac,2,sugar,1/2 tsp superfine,other
Sazerac,3,peychaud bitters,2 dashes,other
Sazerac,4,water,1 tsp,other
Sazerac,5,bourbon,2 oz,other
Sazerac,6,lemon peel,1 twist of,other
Scooter,1,brandy,1 oz,brandy
Scooter,2,amaretto,1 oz,other
Scooter,3,light cream,1 oz,cream
Scotch Cobbler,1,scotch,2 oz,other
Scotch Cobbler,2,brandy,4 dashes,brandy
Scotch Cobbler,3,curacao,4 dashes,other
Scotch Cobbler,4,orange,1 slice,other
Scotch Cobbler,5,mint,1,other
Scotch Sour,1,scotch,1 1/2 oz,other
Scotch Sour,2,lime,Juice of 1/2,other
Scotch Sour,3,powdered sugar,1/2 tsp,other
Scotch Sour,4,lemon,1/2 slice,other
Scotch Sour,5,cherry,1,other
Scottish Highland Liqueur,1,johnnie walker,1 fifth,other
Scottish Highland Liqueur,2,honey,1 1/2 cup mild,other
Scottish Highland Liqueur,3,angelica root,2 tsp dried and chopped,other
Scottish Highland Liqueur,4,fennel seeds,1/4 tsp crushed,other
Scottish Highland Liqueur,5,lemon peel,2 2 inch strips,other
Screaming Orgasm,1,vodka,1 oz,vodka
Screaming Orgasm,2,irish cream,1 1/2 oz,cream
Screaming Orgasm,3,kahlua,1/2 oz,other
Screwdriver,1,vodka,2 oz,vodka
Sea breeze,1,vodka,1 1/2 oz,vodka
Sea breeze,2,cranberry juice,4 oz,juice
Sea breeze,3,grapefruit juice,1 oz,juice
Sex on the Beach,1,vodka,1 oz,vodka
Sex on the Beach,2,peach schnapps,3/4 oz,schnapps
Shanghai Cocktail,1,light rum,1 oz Jamaican,rum
Shanghai Cocktail,2,anisette,1 tsp,other
Shanghai Cocktail,3,grenadine,1/2 tsp,other
Shanghai Cocktail,4,lemon,Juice of 1/4,other
Shark Attack,1,lemonade,1 can,other
Shark Attack,2,water,3 cans,other
Shark Attack,3,vodka,1 1/2 cup,vodka
Sherry Eggnog,1,sherry,2 oz cream,other
Sherry Eggnog,2,powdered sugar,1 tsp,other
Sherry Eggnog,3,egg,1 whole,other
Sherry Eggnog,4,milk,"
",other
Sherry Flip,1,sherry,1 1/2 oz cream,other
Sherry Flip,2,light cream,2 tsp,cream
Sherry Flip,3,powdered sugar,1 tsp,other
Sherry Flip,4,egg,1 whole,other
Sherry Flip,5,nutmeg,"
",other
Shot-gun,1,jim beam,1 part,other
Shot-gun,2,jack daniels,1 part,other
Shot-gun,3,wild turkey,1 oz,other
Sidecar,1,cognac,2 oz,other
Sidecar,2,cointreau,1/2 oz,other
Sidecar,3,lemon juice,1 oz,juice
Sidecar Cocktail,1,brandy,1 oz,brandy
Sidecar Cocktail,2,triple sec,1/2 oz,other
Sidecar Cocktail,3,lemon,Juice of 1/4,other
Singapore Sling,1,cherry brandy,1/2 oz,brandy
Singapore Sling,2,grenadine,1/2 oz,other
Singapore Sling,3,gin,1 oz,other
Singapore Sling,4,sweet and sour,2 oz,other
Sloe Gin Cocktail,1,sloe gin,2 oz,other
Sloe Gin Cocktail,2,dry vermouth,1/4 tsp,other
Sloe Gin Cocktail,3,orange bitters,1 dash,other
Smut,1,red wine,1/3 part,other
Smut,2,peach schnapps,1 shot,schnapps
Smut,3,pepsi cola,1/3 part,other
Smut,4,orange juice,1/3 part,juice
Snake Bite (UK),1,lager,1/2 pint,other
Snake Bite (UK),2,cider,1/2 pint sweet or dry,other
Snakebite and Black,1,lager,1/2 pint,other
Snakebite and Black,2,cider,1/2 pint,other
Snakebite and Black,3,blackcurrant squash,A little bit of,other
Snowball,1,advocaat,1 1/2 oz,other
Snowball,2,lemonade,8-10 oz cold,other
Snowball,3,lemon,1 slice,other
Snowball,4,ice,"cubes
",other
Sol Y Sombra,1,brandy,1 1/2 oz,brandy
Sol Y Sombra,2,anisette,1 1/2 oz,other
Space Odyssey,1,151 proof rum,1 shot Bacardi,rum
Space Odyssey,2,malibu rum,1 shot,rum
Space Odyssey,3,pineapple juice,1 shot,juice
Space Odyssey,4,orange juice,"
",juice
Space Odyssey,5,grenadine,"
",other
Spanish chocolate,1,milk,2 cups,other
Spanish chocolate,2,chocolate,2 oz sweet,chocolate
Spanish chocolate,3,cinnamon,1/2 tsp,other
Spanish chocolate,4,egg yolk,2 beaten,other
Spiced Peach Punch,1,peach nectar,46 oz,other
Spiced Peach Punch,2,orange juice,20 oz,juice
Spiced Peach Punch,3,brown sugar,1/2 cup,other
Spiced Peach Punch,4,cinnamon,3 3-inch,other
Spiced Peach Punch,5,cloves,1/2 tsp,other
Spiced Peach Punch,6,lime juice,2 tblsp,juice
Spiking coffee,1,coffee,"
",other
Spritz,1,prosecco,6 cl,other
Spritz,2,campari,4 cl,other
Spritz,3,soda water,splash,other
Stinger,1,brandy,1 1/2 oz,brandy
Stinger,2,white creme de menthe,1/2 oz,other
Stone Sour,1,apricot brandy,1 oz,brandy
Stone Sour,2,orange juice,1 oz,juice
Stone Sour,3,sweet and sour,1 oz,other
Strawberry Daiquiri,1,strawberry schnapps,1/2 oz,schnapps
Strawberry Daiquiri,2,light rum,1 oz,rum
Strawberry Daiquiri,3,lime juice,1 oz,juice
Strawberry Daiquiri,4,powdered sugar,1 tsp,other
Strawberry Daiquiri,5,strawberries,1 oz,other
Strawberry Lemonade,1,lemon,Juice of 1,other
Strawberry Lemonade,2,sugar,1 tblsp,other
Strawberry Lemonade,3,strawberries,8-10 ripe,other
Strawberry Lemonade,4,water,1 cup,other
Strawberry Margarita,1,strawberry schnapps,1/2 oz,schnapps
Strawberry Margarita,2,tequila,1 oz,other
Strawberry Margarita,3,triple sec,1/2 oz,other
Strawberry Margarita,4,lemon juice,1 oz,juice
Strawberry Margarita,5,strawberries,1 oz,other
Strawberry Margarita,6,salt,"
",other
Strawberry Shivers,1,strawberries,1 1/2 cup,other
Strawberry Shivers,2,honey,4 tsp,other
Strawberry Shivers,3,water,1/2 cup,other
Sunny Holiday Punch,1,pineapple juice,46 oz chilled,juice
Sunny Holiday Punch,2,club soda,28 oz,other
Sunny Holiday Punch,3,orange juice,6 oz frozen,juice
Sunny Holiday Punch,4,lemon,1,other
Sunny Holiday Punch,5,berries,2 cups,other
Sunny Holiday Punch,6,champagne,1 bottle,other
Surf City Lifesaver,1,ouzo,1 part,other
Surf City Lifesaver,2,irish cream,1 part,cream
Surf City Lifesaver,3,gin,2 parts,other
Surf City Lifesaver,4,grand marnier,1/2 part,other
Swedish Coffee,1,coffee,1 cup,other
Swedish Coffee,2,aquavit,4 cl,other
Swedish Coffee,3,sugar,By taste,other
Sweet Bananas,1,milk,2 cups,other
Sweet Bananas,2,banana,1,other
Sweet Bananas,3,honey,1 tblsp,other
Sweet Sangria,1,red wine,2 bottles,other
Sweet Sangria,2,sugar,1 cup,other
Sweet Sangria,3,water,2 cups hot,other
Sweet Sangria,4,apple,1 cup,other
Sweet Sangria,5,orange,"wedges
",other
Sweet Sangria,6,lime,"wedges
",other
Sweet Sangria,7,lemon,"
",other
Sweet Sangria,8,fresca,"
",other
Sweet Tooth,1,godiva liqueur,2 shots,liqueur
Sweet Tooth,2,milk,"
",other
Talos Coffee,1,grand marnier,3 parts,other
Talos Coffee,2,coffee,1 part,other
Tennesee Mud,1,coffee,8 oz,other
Tennesee Mud,2,jack daniels,4 oz,other
Tennesee Mud,3,amaretto,4 oz,other
Tennesee Mud,4,whipped cream,"
",cream
Tequila Fizz,1,tequila,2 oz,other
Tequila Fizz,2,lemon juice,1 tblsp,juice
Tequila Fizz,3,grenadine,3/4 oz,other
Tequila Fizz,4,egg white,1,other
Tequila Fizz,5,ginger ale,"
",other
Tequila Sour,1,tequila,2 oz,other
Tequila Sour,2,lemon,Juice of 1/2,other
Tequila Sour,3,powdered sugar,1 tsp,other
Tequila Sour,4,lemon,1/2 slice,other
Tequila Sour,5,cherry,1,other
Tequila Sunrise,1,tequila,2 measures,other
Tequila Surprise,1,tequila,full glass,other
Tequila Surprise,2,tabasco sauce,About 8 drops,other
Texas Rattlesnake,1,yukon jack,1 part,other
Texas Rattlesnake,2,cherry brandy,1/2 part,brandy
Texas Rattlesnake,3,southern comfort,1 part,other
Texas Rattlesnake,4,sweet and sour,1 splash,other
Texas Sling,1,kahlua,1/2 oz,other
Texas Sling,2,irish cream,1/2 oz,cream
Texas Sling,3,amaretto,1/2 oz,other
Texas Sling,4,151 proof rum,1/2 oz Bacardi,rum
Texas Sling,5,cream,1 oz,cream
Thai Coffee,1,coffee,6 tblsp ground,other
Thai Coffee,2,coriander,1/4 tsp,other
Thai Coffee,3,cardamom,4-5 whole green,other
Thai Iced Coffee,1,coffee,black,other
Thai Iced Coffee,2,sugar,"
",other
Thai Iced Coffee,3,cream,"pods
",cream
Thai Iced Coffee,4,cardamom,"
",other
Thai Iced Tea,1,tea,1/4 cup Thai,other
Thai Iced Tea,2,water,1/2 cup boiling,other
Thai Iced Tea,3,condensed milk,2 tsp sweetened,other
Thai Iced Tea,4,ice,"cubes
",other
The Evil Blue Thing,1,creme de cacao,1 1/2 oz,other
The Evil Blue Thing,2,blue curacao,1 oz,other
The Evil Blue Thing,3,light rum,1/2 oz,rum
Thriller,1,scotch,1 1/2 oz,other
Thriller,2,wine,1 oz Green Ginger,other
Thriller,3,orange juice,1 oz,juice
Tia-Maria,1,water,1 cup,other
Tia-Maria,2,brown sugar,3/4-1 cup,other
Tia-Maria,3,coffee,4 tsp,other
Tia-Maria,4,rum,1 cup,rum
Tia-Maria,5,vanilla extract,4 tsp,other
Tom Collins,1,gin,2 oz,other
Tom Collins,2,lemon juice,1 oz,juice
Tom Collins,3,sugar,1 tsp superfine,other
Tom Collins,4,club soda,3 oz,other
Tom Collins,5,maraschino cherry,1,other
Tom Collins,6,orange,1,other
Tomato Tang,1,tomato juice,2 cups,juice
Tomato Tang,2,lemon juice,1-2 tblsp,juice
Tomato Tang,3,celery salt,1 dash,other
Tommy's Margarita,1,tequila,4.5 cl,other
Tommy's Margarita,2,lime juice,1.5 cl,juice
Tommy's Margarita,3,agave syrup,2 spoons,syrup
Turf Cocktail,1,dry vermouth,1 oz,other
Turf Cocktail,2,gin,1 oz,other
Turf Cocktail,3,anis,1/4 tsp,other
Turf Cocktail,4,bitters,2 dashes,other
Turf Cocktail,5,orange peel,Twist of,other
Turkeyball,1,wild turkey,1 oz,other
Turkeyball,2,amaretto,3/4 oz,other
Turkeyball,3,pineapple juice,1 splash,juice
Tuxedo Cocktail,1,dry vermouth,1 1/2 oz,other
Tuxedo Cocktail,2,gin,1 1/2 oz,other
Tuxedo Cocktail,3,maraschino liqueur,1/4 tsp,liqueur
Tuxedo Cocktail,4,anis,1/4 tsp,other
Tuxedo Cocktail,5,orange bitters,2 dashes,other
Tuxedo Cocktail,6,cherry,1,other
Valencia Cocktail,1,apricot brandy,1 1/2 oz,brandy
Valencia Cocktail,2,orange juice,1 tblsp,juice
Valencia Cocktail,3,orange bitters,2 dashes,other
Vampiro,1,tequila,6 cl,other
Vampiro,2,tomato juice,3 cl,juice
Vampiro,3,orange juice,3 cl,juice
Vampiro,4,lime juice,1.5 cl,juice
Vampiro,5,sugar syrup,1 dash,syrup
Vampiro,6,salt,1 pinch,other
Van Vleet,1,light rum,3 oz,rum
Van Vleet,2,maple syrup,1 oz,syrup
Van Vleet,3,lemon juice,1 oz,juice
Vermouth Cassis,1,dry vermouth,1 1/2 oz,other
Vermouth Cassis,2,creme de cassis,3/4 oz,other
Vermouth Cassis,3,carbonated water,"
",other
Vesper,1,gin,6 cl,other
Vesper,2,vodka,1.5 cl,vodka
Vesper,3,lillet blanc,0.75 cl,other
Vesuvio,1,light rum,1 oz,rum
Vesuvio,2,sweet vermouth,1/2 oz,other
Vesuvio,3,lemon,Juice of 1/2,other
Vesuvio,4,powdered sugar,1 tsp,other
Vesuvio,5,egg white,1,other
Veteran,1,dark rum,2 oz,rum
Veteran,2,cherry brandy,1/2 oz,brandy
Victor,1,gin,1 1/2 oz,other
Victor,2,sweet vermouth,1/2 oz,other
Victor,3,brandy,1/2 oz,brandy
Victory Collins,1,vodka,1 1/2 oz,vodka
Victory Collins,2,lemon juice,3 oz,juice
Victory Collins,3,grape juice,3 oz unsweetened,juice
Victory Collins,4,powdered sugar,1 tsp,other
Victory Collins,5,orange,1 slice,other
Vodka And Tonic,1,vodka,2 oz,vodka
Vodka And Tonic,2,tonic water,"
",other
Vodka Fizz,1,vodka,2 oz,vodka
Vodka Fizz,2,half-and-half,2 oz,other
Vodka Fizz,3,limeade,2 oz,other
Vodka Fizz,4,ice,"
",other
Vodka Fizz,5,nutmeg,"
",other
Vodka Martini,1,vodka,1 1/2 oz,vodka
Vodka Martini,2,dry vermouth,3/4 oz,other
Vodka Martini,3,olive,1,other
Vodka Russian,1,vodka,2 oz,vodka
Vodka Russian,2,schweppes russchian,"
",other
Waikiki Beachcomber,1,triple sec,3/4 oz,other
Waikiki Beachcomber,2,gin,3/4 oz,other
Waikiki Beachcomber,3,pineapple juice,1 tblsp,juice
Whiskey Sour,1,blended whiskey,2 oz,other
Whiskey Sour,2,lemon,Juice of 1/2,other
Whiskey Sour,3,powdered sugar,1/2 tsp,other
Whiskey Sour,4,cherry,1,other
Whiskey Sour,5,lemon,1/2 slice,other
Whisky Mac,1,scotch,1 1/2 oz,other
Whisky Mac,2,wine,1 oz Green Ginger,other
White Lady,1,gin,4cl,other
White Lady,2,triple sec,3cl,other
White Lady,3,lemon juice,2cl,juice
White Russian,1,vodka,2 oz,vodka
White Russian,2,coffee liqueur,1 oz,liqueur
White Russian,3,light cream,"
",cream
Whitecap Margarita,1,ice,1 cup,other
Whitecap Margarita,2,tequila,2 oz,other
Whitecap Margarita,3,cream of coconut,1/4 cup,cream
Whitecap Margarita,4,lime juice,3 tblsp fresh,juice
Wine Cooler,1,red wine,2 oz white or,other
Wine Cooler,2,lemon-lime soda,5 oz,other
Wine Cooler,3,ice,"cubes
",other
Wine Punch,1,red wine,1 bottle,other
Wine Punch,2,lemon,2,other
Wine Punch,3,orange juice,1 cup,juice
Wine Punch,4,orange,3,other
Wine Punch,5,pineapple juice,1 cup,juice
Yellow Bird,1,white rum,3 cl,rum
Yellow Bird,2,galliano,1.5 cl,other
Yellow Bird,3,triple sec,1.5 cl,other
Yellow Bird,4,lime juice,1.5 cl,juice
Yoghurt Cooler,1,yoghurt,1 cup,other
Yoghurt Cooler,2,fruit,1 cup,other
Yoghurt Cooler,3,ice,"
",other
Zambeer,1,sambuca,1 1/2 oz,other
Zambeer,2,root beer,Add 10 oz,other
Zambeer,3,ice,"cubes
",other
Zenmeister,1,jägermeister,1/2 oz,other
Zenmeister,2,root beer,1/2 oz,other
Ziemes Martini Apfelsaft,1,vermouth,4 cl,other
Ziemes Martini Apfelsaft,2,apple juice,16 cl,juice
Zima Blaster,1,zima,12 oz,other
Zima Blaster,2,raspberry liqueur,3 oz,liqueur
Zimadori Zinger,1,melon liqueur,1.5 oz,liqueur
Zimadori Zinger,2,zima,12 oz,other
Zinger,1,peach schnapps,4 shots,schnapps
Zinger,2,surge,4 shots,other
Zipperhead,1,raspberry liqueur,1 shot,liqueur
Zipperhead,2,vodka,1 shot,vodka
Zipperhead,3,soda water,Fill with,other
Zippy's Revenge,1,amaretto,2 oz,other
Zippy's Revenge,2,rum,2 oz,rum
Zippy's Revenge,3,kool-aid,4 oz Grape,other
Zizi Coin-coin,1,cointreau,5 cl,other
Zizi Coin-coin,2,lemon juice,2 cl,juice
Zizi Coin-coin,3,ice,"cubes
",other
Zizi Coin-coin,4,lemon,"or lime
",other
Zoksel,1,beer,"
",other
Zoksel,2,root beer,"
",other
Zoksel,3,lemonade,"
",other
Zoksel,4,coca-cola,"slice
",other
Zoksel,5,7-up,"
",other
Zoksel,6,creme de cassis,"
",other
Zoksel,7,lemon,"
",other
Zorbatini,1,vodka,1 1/4 oz Stoli,vodka
Zorbatini,2,ouzo,1/4 oz,other
Zorro,1,sambuca,2 cl,other
Zorro,2,irish cream,2 cl,cream
Zorro,3,white creme de menthe,2 cl,other
Screwdriver,2,orange juice,3 oz,other
